Name,Average Volume (3m),Market Cap,Revenue,P/E Ratio,Beta
ETI,1.17M,1.61T,2.24B,3.45,1.03
Seplat Petroleum,178.34K,6.36T,3.15B,14.66,0.106
Airtel Africa,39.87K,22.31T,6.88B,22.81,0.47
United Capital,10.77M,324.9B,83.74B,8.76,0.19
Transcorp Hotels,57.8K,2.48T,94.53B,94.01,0.39
Okomu Oil Palm,196.49K,1.35T,194.67B,24.28,0.47
Presco,188.97K,2.42T,330.65B,17.66,0.54
Sterling Bank,64.76M,548.02B,423.49B,5.56,0.37
Transcorp,3.49M,426.8B,506.63B,5.45,-0.29
Guinness Nigeria,625.66K,823.58B,515.25B,22.27,-0.21
International Breweries,2.92M,1.99T,620.12B,42.48,0.18
Fcmb,32.96M,755.18B,626.84B,2.66,0.247
Total Nig,28.93K,217.29B,787.73B,-35.94,0.19
Dangote Sugar,7.92M,955.96B,790.86B,556.09,0.005
STANBIC IBTC Bank,2.32M,2.53T,792.90B,6.47,0.44
Lafarge Africa,4.26M,5.85T,1.23T,16.77,0.39
Nestle Nigeria,102.63K,2.23T,1.28T,18.71,0.051
BUA Cement,1.57M,10.7T,1.33T,24.31,-0.23
Fidelitybk,28.9M,1.36T,1.37T,6.03,0.26
Nigerian Breweries,6.37M,2.26T,1.53T,22.48,0.165
BUA Foods,157.77K,15.21T,1.63T,27.37,0.087
Guaranty Trust Holding,21.03M,4.75T,1.72T,5.55,0.84
UBA,29.92M,1.97T,2.69T,5.63,0.17
First HoldCo,100.56M,5.89T,2.97T,14.66,0.99
Access Holdings,84.46M,1.39T,3.46T,1.77,0.32
Zenith Bank,31.4M,5.07T,3.70T,4.89,0.77
Dangote Cement,1.26M,17.32T,4.75T,14.85,0.14
MTN Nigeria,5.44M,17.55T,5.82T,12.78,0.572
